hastus_id,translink_id,description,street_name,nearest_cross_street,lat,long,suburb,bus_stop_type,tactile_ground_surf_indicat_y_n,boarding_point,road_gradient,cross_fall,date_of_last_audit,btn_both
1,306549,Herschel St app Nth Quay (r) (Stop 1),HERSCHEL ST,NA,-27.467834,153.019079,BRISBANE CITY,NA,NA,NA,NA,NA,NA,TRUE
2,306550,Herschel St app Nth Quay (Stop 2),NORTH QUAY,NA,-27.468095,153.018744,BRISBANE CITY,NA,NA,NA,NA,NA,NA,TRUE
3,306547,Turbot St F/S Albert St (Stop 3),TURBOT ST,NA,-27.467009,153.023393,BRISBANE CITY,NA,NA,NA,NA,NA,NA,TRUE
4,306512,Turbot St F/S Wharf St (Stop 4),Turbot St,Wharf St,-27.463306,153.028396,SPRING HILL,Intermediate,N,Hard,Easy,Hard,6/05/2007,TRUE
5,306524,Ann Street F/S Orient Hotel (Stop 5),Ann St,Queen St,-27.462917,153.030586,BRISBANE CITY,Regular with seat,Y,Medium,Medium,Hard,6/07/2007,TRUE
6,306558,Ann St app Wharf St (Stop 6),Ann St,Creek St,-27.464013,153.029154,BRISBANE CITY,Intermediate,Y,Medium,Medium,Medium,29/05/2012,TRUE
7,306559,Ann St at Anzac Square (Stop 7),Ann St,Creek St,-27.466105,153.026494,BRISBANE CITY,Intermediate,Y,Medium,Easy,Easy,20/02/2012,TRUE
8,300073,Ann St app Edward St (Stop 8),Ann St,Edward St,-27.466487,153.026002,BRISBANE CITY,Intermediate,Y,Medium,Medium,Easy,20/02/2012,TRUE
9,306560,Ann St app KGS (Stop 9),Ann St,Edward St,-27.467273,153.02496,BRISBANE CITY,Regular with seat,Y,Hard,NA,Easy,20/02/2012,TRUE
10,306561,Ann St at KGS (Stop 10),Ann St,Albert St,-27.468003,153.02397,BRISBANE CITY,Intermediate,Y,Medium,Medium,Easy,28/06/2011,TRUE
11,306573,Ann St Stop 11,Ann St,George St,-27.468816,153.022942,BRISBANE CITY,Intermediate,N,Medium,Easy,Easy,13/06/2007,TRUE
12,306558,Stop 6A Ann St app Creek St,CREEK ST,NA,-27.465444,153.027343,BRISBANE CITY,Intermediate,NA,NA,NA,NA,NA,TRUE
14,701393,Ann St @ City Hall Stop 12,ADELAIDE ST,NA,-27.468844,153.022902,BRISBANE CITY,NA,NA,NA,NA,NA,NA,TRUE
17,306585,Adelaide St f/s George St (Stop 17),GEORGE ST,NA,-27.469951,153.022993,BRISBANE CITY,NA,Y,NA,NA,NA,NA,TRUE
18,306582,Adelaide St at City Hall (Stop 18),Adelaide St,George St,-27.469777,153.02321800000001,BRISBANE CITY,Intermediate,Y,Medium,Medium,Easy,13/06/2007,TRUE
19,307257,Adelaide St adj City Hall (Stop 19),Adelaide St,Albert St,-27.469404,153.023745,BRISBANE CITY,Premium,Y,Medium,Easy,Easy,13/05/2008,TRUE
20,306580,Adelaide St Stop 20 at City Hall,Adelaide St,Albert St,-27.469016,153.024221,BRISBANE CITY,Premium,Y,Medium,Easy,Easy,28/06/2011,TRUE
21,307255,Adelaide St @ Res Bank (Stop 21),Adelaide St,Albert St,-27.468528,153.024827,BRISBANE CITY,Intermediate,Y,Medium,Easy,Easy,13/05/2008,TRUE
22,307263,Adelaide St f/s Res Bank (Stop 22),Adelaide St,Albert St,-27.468397,153.024996,BRISBANE CITY,Intermediate,Y,Medium,NA,Medium,28/07/2008,TRUE
23,306591,Adelaide St opp DJ's (Stop 23),Adelaide St,Edward St,-27.467987,153.025522,BRISBANE CITY,Regular with seat,Y,Medium,Easy,Easy,13/06/2007,TRUE
24,306589,Adelaide St app Edward St (Stop 24),Adelaide St,Edward St,-27.467856,153.025689,BRISBANE CITY,Regular with seat,Y,Medium,Easy,Medium,13/06/2007,TRUE
25,306594,Adelaide St F/S Edward St (Stop 25),Adelaide St,Edward St,-27.46728,153.026411,BRISBANE CITY,Regular with seat,Y,Medium,Easy,Easy,20/02/2012,TRUE
26,306595,Adelaide St at Anzac Sq (Stop 26),Adelaide St,Edward St,-27.467191,153.026526,BRISBANE CITY,Regular with seat,Y,Medium,Easy,Easy,20/02/2012,TRUE
27,306598,Adelaide St F/S Creek St (Stop 27),Adelaide St,Creek St,-27.465899,153.02819,BRISBANE CITY,Regular with seat,Y,Easy,Medium,Easy,20/02/2012,TRUE
28,306600,Adelaide St app Hutton L (Stop 28),Adelaide St,Hutton La,-27.465718,153.028426,BRISBANE CITY,Regular with seat,Y,Medium,Medium,Easy,20/02/2012,TRUE
29,306521,Adelaide St F/S Wharf St (Stop 29),Adelaide St,Wharf St,-27.464681,153.029766,BRISBANE CITY,Intermediate,Y,Medium,Easy,Hard,29/05/2012,TRUE
30,306546,Adelaide St @ Macrossan St (St 30),Adelaide St,Macrossan,-27.463215,153.031476,BRISBANE CITY,Regular with seat,Y,NA,NA,NA,29/05/2012,TRUE
31,307520,Creek St app Adelaide St (Stop 149A),CREEK ST,NA,-27.466376,153.027913,BRISBANE CITY,Regular,NA,NA,NA,NA,NA,TRUE
32,NA,Adelaide St - City Glider - (Stop 32),ADELAIDE ST,NA,-27.46463,153.030049,BRISBANE CITY,NA,NA,NA,NA,NA,NA,TRUE
33,307137,Adelaide St app Wharf St (Stop 33),Adelaide St,Wharf St,-27.464875,153.029731,BRISBANE CITY,Intermediate,Y,Easy,Medium,Hard,29/05/2012,TRUE
34,307138,Adelaide St Creek St (rear) (Stop 34),Adelaide St,Creek St,-27.465965,153.028321,BRISBANE CITY,Regular with seat,Y,Medium,Easy,Easy,20/02/2012,TRUE
35,306599,Adelaide St app Creek St (Stop 35),Adelaide St,Creek St,-27.466093,153.028155,BRISBANE CITY,Regular with seat,Y,Medium,Easy,Easy,20/02/2012,TRUE
36,306597,Adelaide St op Anzac Sq (r) (Stop 36),Adelaide St,Edward St,-27.466917,153.027094,BRISBANE CITY,Regular with seat,Y,Medium,Easy,Medium,20/02/2012,TRUE
37,306596,Adelaide St op Anzac Sq (r) (Stop 37),Adelaide St,Edward St,-27.467224,153.026699,BRISBANE CITY,Regular with seat,Y,Medium,Easy,Easy,20/02/2012,TRUE
38,NA,Adelaide St f/s Edward St (Stop 38),QUEEN ST,NA,-27.466977,153.027017,BRISBANE CITY,NA,NA,NA,NA,NA,NA,TRUE
39,306590,Adelaide St Stop 39 at David Jones,Adelaide St,Edward St,-27.468007,153.025681,BRISBANE CITY,Intermediate,Y,Medium,Easy,Easy,13/05/2008,TRUE
40,306593,Adelaide St at Broadway (Stop 40),Adelaide St,Edward St,-27.468609,153.024908,BRISBANE CITY,Intermediate,Y,Medium,Medium,Easy,7/08/2008,TRUE
41,307139,Adelaide St app Albert St (Stop 41),Adelaide St,Albert St,-27.468355,153.025234,BRISBANE CITY,Intermediate,Y,Medium,Easy,Easy,28/08/2007,TRUE
42,307178,Adelaide St f\s Albert St (Stop 42),Adelaide St,Albert St,-27.46876,153.024712,BRISBANE CITY,Intermediate,Y,Medium,Easy,Easy,13/05/2008,TRUE
43,307258,Adelaide St opp City Hall (Stop 43),Adelaide St,Albert St,-27.469142,153.02422,BRISBANE CITY,Intermediate,Y,Medium,Easy,Easy,28/06/2011,TRUE
44,306588,Adelaide St opp City Hall (Stop 44),Adelaide St,Albert St,-27.469311,153.024003,BRISBANE CITY,Regular with seat,Y,Medium,Easy,Easy,13/06/2007,TRUE
45,306586,Adelaide St opp City Hall (Stop 45),Adelaide St,George St,-27.469688,153.023517,BRISBANE CITY,Intermediate,Y,Medium,Medium,Easy,13/05/2008,TRUE
46,306584,Adelaide St opp City Plaza (Stop 46),Adelaide St,George St,-27.469846,153.02335,BRISBANE CITY,Intermediate,Y,Medium,Medium,Easy,13/06/2007,TRUE
47,306585,Adelaide St app George St (Stop 47),Adelaide St,George St,-27.470016,153.023096,BRISBANE CITY,Regular with seat,Y,Medium,Medium,Medium,13/06/2007,TRUE
49,701642,Adelaide St  Stop 31  near Macrossan,Adelaide St,NA,-27.462957,153.031931,BRISBANE CITY,Regular,NA,NA,NA,NA,NA,TRUE
50,NA,Mary Street Stop 50,MARY ST,ALBERT ST,-27.4724014,153.0269999,BRISBANE CITY,3 - Regular with seat,Y,Easy,Medium,Easy,24/01/2017,TRUE
51,NA,Charlotte Street Stop 51,CHARLOTTE ST,ALBERT ST,-27.470912,153.0272,BRISBANE CITY,4 - Regular,Y,Easy,Easy,Medium,24/01/2017,TRUE
